"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_intructions","correct_key_response","correct_resp","correct_welcome_message","count_Number","count_blank","count_block_loop","count_end_message","count_experiment","count_fixation","count_intructions","count_key_response","count_logger","count_trial_sequence","count_welcome_message","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_size_left","font_size_right","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block_loop","logfile","mouse_backend","number_left","number_right","opensesame_codename","opensesame_version","repeat_cycle","response","response_end_message","response_intructions","response_key_response","response_time","response_time_end_message","response_time_intructions","response_time_key_response","response_time_welcome_message","response_welcome_message","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Number","time_blank","time_block_loop","time_end_message","time_experiment","time_fixation","time_intructions","time_key_response","time_logger","time_trial_sequence","time_welcome_message","title","total_correct","total_response_time","total_responses","width"
"100","100","11072","11072","#3d3846","xpyriment","legacy","legacy","n","1","undefined","1","q","undefined","0","0","0","0","0","0","0","0","0","0","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","60","60","no","white","no","yes","768","legacy","0","0","G:\class task\subject-4.csv","xpyriment","2","1","Neonatal Nightingale","4.1.6","0","q","NA","space","q","11072.0","NA","1488","11072","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","893842","893138","892902","NA","1080","893340","891414","893842","904914","893134","1085","STROOP_task","1","11072.0","1","1024"
"100","100","6349","6349","#3d3846","xpyriment","legacy","legacy","n","1","undefined","1","q","undefined","1","1","0","0","0","1","0","1","1","1","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","60","60","no","white","no","yes","768","legacy","1","1","G:\class task\subject-4.csv","xpyriment","9","8","Neonatal Nightingale","4.1.6","0","q","NA","space","q","1626.0","NA","1488","1626","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","906202","905498","892902","NA","1080","905700","891414","906202","907828","905494","1085","STROOP_task","2","12698.0","2","1024"
"100","100","7061","7061","#3d3846","xpyriment","legacy","legacy","i","1","undefined","1","q","undefined","2","2","0","0","0","2","0","2","2","2","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","40","80","no","white","no","yes","768","legacy","2","2","G:\class task\subject-4.csv","xpyriment","2","1","Neonatal Nightingale","4.1.6","0","q","NA","space","q","8487.0","NA","1488","8487","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","908792","908088","892902","NA","1080","908290","891414","908792","917279","908083","1085","STROOP_task","3","21185.0","3","1024"
"100","100","5466","5466","#3d3846","xpyriment","legacy","legacy","c","1","undefined","1","q","undefined","3","3","0","0","0","3","0","3","3","3","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","80","40","no","white","no","yes","768","legacy","3","3","G:\class task\subject-4.csv","xpyriment","4","3","Neonatal Nightingale","4.1.6","0","q","NA","space","q","679.0","NA","1488","679","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","918256","917552","892902","NA","1080","917754","891414","918256","918936","917547","1085","STROOP_task","4","21864.0","4","1024"
"100","100","4460","4460","#3d3846","xpyriment","legacy","legacy","c","1","undefined","1","q","undefined","4","4","0","0","0","4","0","4","4","4","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","80","40","no","white","no","yes","768","legacy","4","4","G:\class task\subject-4.csv","xpyriment","2","1","Neonatal Nightingale","4.1.6","0","q","NA","space","q","439.0","NA","1488","439","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","919906","919202","892902","NA","1080","919404","891414","919906","920346","919197","1085","STROOP_task","5","22303.0","5","1024"
"100","100","3827","3827","#3d3846","xpyriment","legacy","legacy","n","1","undefined","1","p","undefined","5","5","0","0","0","5","0","5","5","5","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","60","60","no","white","no","yes","768","legacy","5","5","G:\class task\subject-4.csv","xpyriment","8","9","Neonatal Nightingale","4.1.6","0","p","NA","space","p","664.0","NA","1488","664","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","921312","920608","892902","NA","1080","920810","891414","921312","921976","920603","1085","STROOP_task","6","22967.0","6","1024"
"100","100","3392","3392","#3d3846","xpyriment","legacy","legacy","i","1","undefined","1","q","undefined","6","6","0","0","0","6","0","6","6","6","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","40","80","no","white","no","yes","768","legacy","6","6","G:\class task\subject-4.csv","xpyriment","4","3","Neonatal Nightingale","4.1.6","0","q","NA","space","q","781.0","NA","1488","781","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","922880","922176","892902","NA","1080","922378","891414","922880","923662","922171","1085","STROOP_task","7","23748.0","7","1024"
"100","100","3097","3097","#3d3846","xpyriment","legacy","legacy","n","1","undefined","1","p","undefined","7","7","0","0","0","7","0","7","7","7","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","60","60","no","white","no","yes","768","legacy","7","7","G:\class task\subject-4.csv","xpyriment","1","6","Neonatal Nightingale","4.1.6","0","p","NA","space","p","1028.0","NA","1488","1028","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","924598","923894","892902","NA","1080","924096","891414","924598","925626","923889","1085","STROOP_task","8","24776.0","8","1024"
"100","100","2860","2860","#3d3846","xpyriment","legacy","legacy","i","1","undefined","1","p","undefined","8","8","0","0","0","8","0","8","8","8","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","80","40","no","white","no","yes","768","legacy","8","8","G:\class task\subject-4.csv","xpyriment","3","4","Neonatal Nightingale","4.1.6","0","p","NA","space","p","971.0","NA","1488","971","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","926585","925881","892902","NA","1080","926083","891414","926585","927556","925876","1085","STROOP_task","9","25747.0","9","1024"
"100","100","2640","2640","#3d3846","xpyriment","legacy","legacy","n","1","undefined","1","p","undefined","9","9","0","0","0","9","0","9","9","9","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","60","60","no","white","no","yes","768","legacy","9","9","G:\class task\subject-4.csv","xpyriment","3","4","Neonatal Nightingale","4.1.6","0","p","NA","space","p","658.0","NA","1488","658","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","928536","927832","892902","NA","1080","928034","891414","928536","929194","927827","1085","STROOP_task","10","26405.0","10","1024"
"100","100","2452","2452","#3d3846","xpyriment","legacy","legacy","c","1","undefined","1","q","undefined","10","10","0","0","0","10","0","10","10","10","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","80","40","no","white","no","yes","768","legacy","10","10","G:\class task\subject-4.csv","xpyriment","2","1","Neonatal Nightingale","4.1.6","0","q","NA","space","q","574.0","NA","1488","574","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","930166","929462","892902","NA","1080","929664","891414","930166","930741","929457","1085","STROOP_task","11","26979.0","11","1024"
"100","100","2306","2306","#3d3846","xpyriment","legacy","legacy","n","1","undefined","1","q","undefined","11","11","0","0","0","11","0","11","11","11","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","60","60","no","white","no","yes","768","legacy","11","11","G:\class task\subject-4.csv","xpyriment","8","3","Neonatal Nightingale","4.1.6","0","q","NA","space","q","701.0","NA","1488","701","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","931703","930999","892902","NA","1080","931201","891414","931703","932404","930994","1085","STROOP_task","12","27680.0","12","1024"
"100","100","2165","2165","#3d3846","xpyriment","legacy","legacy","c","1","undefined","1","q","undefined","12","12","0","0","0","12","0","12","12","12","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","80","40","no","white","no","yes","768","legacy","12","12","G:\class task\subject-4.csv","xpyriment","8","3","Neonatal Nightingale","4.1.6","0","q","NA","space","q","466.0","NA","1488","466","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","933377","932673","892902","NA","1080","932875","891414","933377","933844","932669","1085","STROOP_task","13","28146.0","13","1024"
"100","100","2059","2059","#3d3846","xpyriment","legacy","legacy","i","1","undefined","1","q","undefined","13","13","0","0","0","13","0","13","13","13","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","40","80","no","white","no","yes","768","legacy","13","13","G:\class task\subject-4.csv","xpyriment","4","3","Neonatal Nightingale","4.1.6","0","q","NA","space","q","681.0","NA","1488","681","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","934825","934121","892902","NA","1080","934323","891414","934825","935507","934117","1085","STROOP_task","14","28827.0","14","1024"
"100","100","1965","1965","#3d3846","xpyriment","legacy","legacy","i","1","undefined","1","p","undefined","14","14","0","0","0","14","0","14","14","14","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","80","40","no","white","no","yes","768","legacy","14","14","G:\class task\subject-4.csv","xpyriment","3","4","Neonatal Nightingale","4.1.6","0","p","NA","space","p","660.0","NA","1488","660","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","936473","935769","892902","NA","1080","935971","891414","936473","937134","935764","1085","STROOP_task","15","29487.0","15","1024"
"100","100","1875","1875","#3d3846","xpyriment","legacy","legacy","i","1","undefined","1","q","undefined","15","15","0","0","0","15","0","15","15","15","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","40","80","no","white","no","yes","768","legacy","15","15","G:\class task\subject-4.csv","xpyriment","6","1","Neonatal Nightingale","4.1.6","0","q","NA","space","q","518.0","NA","1488","518","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","938106","937402","892902","NA","1080","937604","891414","938106","938625","937397","1085","STROOP_task","16","30005.0","16","1024"
"100","100","1798","1798","#3d3846","xpyriment","legacy","legacy","c","1","undefined","1","q","undefined","16","16","0","0","0","16","0","16","16","16","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","80","40","no","white","no","yes","768","legacy","16","16","G:\class task\subject-4.csv","xpyriment","8","3","Neonatal Nightingale","4.1.6","0","q","NA","space","q","564.0","NA","1488","564","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","939613","938909","892902","NA","1080","939111","891414","939613","940178","938905","1085","STROOP_task","17","30569.0","17","1024"
"100","100","1726","1726","#3d3846","xpyriment","legacy","legacy","c","1","undefined","1","q","undefined","17","17","0","0","0","17","0","17","17","17","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","80","40","no","white","no","yes","768","legacy","17","17","G:\class task\subject-4.csv","xpyriment","2","1","Neonatal Nightingale","4.1.6","0","q","NA","space","q","502.0","NA","1488","502","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","941164","940460","892902","NA","1080","940662","891414","941164","941666","940455","1085","STROOP_task","18","31071.0","18","1024"
"100","100","1659","1659","#3d3846","xpyriment","legacy","legacy","n","1","undefined","1","p","undefined","18","18","0","0","0","18","0","18","18","18","0","Mon Dec 15 20:21:06 2025","The main experiment item","False","stroop_task.osexp","C:\Users\jobay\Downloads","False","mono","False","25","60","60","no","white","no","yes","768","legacy","18","18","G:\class task\subject-4.csv","xpyriment","1","2","Neonatal Nightingale","4.1.6","0","p","NA","space","p","468.0","NA","1488","468","890103","space","2","legacy","1024","2","48000","-16","experiment","4","even","942710","942006","892902","NA","1080","942208","891414","942710","943179","942002","1085","STROOP_task","19","31539.0","19","1024"
